"employee_id","ride_creation","passenger_creation"
"6203f3b347345d9bd45ef616",2024-04-21 15:49:29.380 +0200,
"6203f3b347345d9bd45ef616",2024-04-15 20:39:25.158 +0200,
"6203f3b347345d9bd45ef616",2024-04-15 20:44:38.016 +0200,
"6203f3b347345d9bd45ef616",2024-04-21 15:48:18.216 +0200,
"6203f3b347345d9bd45ef616",2024-05-01 17:16:30.418 +0200,
"6203f3b347345d9bd45ef616",2024-05-02 16:35:17.501 +0200,
"6203f3b347345d9bd45ef616",2024-05-06 21:57:41.342 +0200,
"6203f3b347345d9bd45ef616",2024-05-07 08:39:01.521 +0200,
"6203f3b347345d9bd45ef616",2024-07-01 15:15:02.170 +0200,
"6203f3b347345d9bd45ef616",2024-07-02 15:14:13.535 +0200,
"61fa623747345dc8c95edca3",2024-05-13 13:25:37.388 +0200,
"61fa623747345dc8c95edca3",2024-05-23 13:07:21.046 +0200,
"62569441e2af76a4e808f3ea",2024-04-24 22:15:28.884 +0200,
"61c4233d47345d7a195e1a1f",2024-04-15 05:31:33.655 +0200,
"61c4233d47345d7a195e1a1f",2024-04-15 06:32:00.455 +0200,
"61c4233d47345d7a195e1a1f",2024-04-22 22:06:42.697 +0200,
"61c4233d47345d7a195e1a1f",2024-04-23 12:08:07.091 +0200,
"61c4233d47345d7a195e1a1f",2024-04-28 13:20:34.400 +0200,
"61c4233d47345d7a195e1a1f",2024-04-29 16:35:19.147 +0200,
"61c4233d47345d7a195e1a1f",2024-05-05 20:46:50.660 +0200,
"61c4233d47345d7a195e1a1f",2024-05-06 15:55:14.367 +0200,
"61c4233d47345d7a195e1a1f",2024-05-27 23:20:18.074 +0200,
"61c4233d47345d7a195e1a1f",2024-05-28 14:49:10.935 +0200,
"64f5a2ca9821ee32b250053a",2023-11-24 15:22:57.335 +0100,
"65a644b96de16c996a2668e7",2024-06-27 13:23:29.720 +0200,
"629b68d14725615cebe7344d",2024-03-22 19:35:05.801 +0100,
"62603a74e2af76262409e74a",2024-04-15 15:49:09.777 +0200,
"62603a74e2af76262409e74a",2024-04-15 16:02:53.206 +0200,
"62bec87fabd5fc21d288b975",2024-04-13 13:11:40.130 +0200,
"62bec87fabd5fc21d288b975",2024-05-22 13:56:41.785 +0200,
"62bec87fabd5fc21d288b975",2024-05-24 13:56:26.207 +0200,
"62bec87fabd5fc21d288b975",2024-04-17 08:18:41.789 +0200,
"62bec87fabd5fc21d288b975",2024-04-18 11:55:26.714 +0200,
"62bec87fabd5fc21d288b975",2024-04-28 18:40:51.769 +0200,
"62bec87fabd5fc21d288b975",2024-04-29 11:45:12.430 +0200,
"62bec87fabd5fc21d288b975",2024-05-06 17:17:43.570 +0200,
"62bec87fabd5fc21d288b975",2024-05-08 07:58:23.881 +0200,
"62bec87fabd5fc21d288b975",2024-05-11 09:43:40.795 +0200,
"62bec87fabd5fc21d288b975",2024-05-13 18:40:10.493 +0200,
"62bec87fabd5fc21d288b975",2024-05-15 14:26:25.628 +0200,
"62bec87fabd5fc21d288b975",2024-05-29 18:35:04.321 +0200,
"62bec87fabd5fc21d288b975",2024-05-29 18:23:07.806 +0200,
"62bec87fabd5fc21d288b975",2024-06-05 08:14:13.942 +0200,
"62bec87fabd5fc21d288b975",2024-06-07 07:51:00.869 +0200,
"62bec87fabd5fc21d288b975",2024-06-11 08:07:40.984 +0200,
"62bec87fabd5fc21d288b975",2024-06-10 18:57:25.475 +0200,
"62bec87fabd5fc21d288b975",2024-06-11 08:08:09.878 +0200,
"62bec87fabd5fc21d288b975",2024-06-12 16:59:46.714 +0200,
"62bec87fabd5fc21d288b975",2024-06-13 15:55:11.130 +0200,
"6241b45ce2af760450065f69",2024-04-23 17:56:50.282 +0200,
"6241b45ce2af760450065f69",2024-04-17 11:09:00.082 +0200,
"6241b45ce2af760450065f69",2024-06-24 10:49:39.795 +0200,
"6241b45ce2af760450065f69",2024-06-26 15:47:34.640 +0200,
"61c2fb2847345d24935e1384",2024-04-15 11:29:01.002 +0200,
"61c2fb2847345d24935e1384",2024-04-15 11:27:55.341 +0200,
"61c2fb2847345d24935e1384",2024-04-05 10:10:51.152 +0200,
"61c2fb2847345d24935e1384",2024-06-03 10:06:10.729 +0200,
"61c2fb2847345d24935e1384",2024-06-03 10:07:00.990 +0200,
"61c2fb2847345d24935e1384",2024-06-04 15:59:03.525 +0200,
"61c2fb2847345d24935e1384",2024-06-10 08:50:04.712 +0200,
"61c2fb2847345d24935e1384",2024-06-12 13:16:10.282 +0200,
"61c2fb2847345d24935e1384",2024-06-13 16:30:50.380 +0200,
"62bda1bfabd5fcd3df888599",2024-03-18 12:42:09.871 +0100,
"61c35a2947345d9d5f5e18de",2024-03-22 09:41:51.956 +0100,
"61c35a2947345d9d5f5e18de",2024-03-22 09:43:02.536 +0100,
"61c35a2947345d9d5f5e18de",2024-04-16 10:49:09.243 +0200,
"61c35a2947345d9d5f5e18de",2024-04-16 10:48:02.716 +0200,
"61c35a2947345d9d5f5e18de",2024-05-06 09:31:08.613 +0200,
"61c35a2947345d9d5f5e18de",2024-05-06 09:30:20.228 +0200,
"61c35a2947345d9d5f5e18de",2024-05-06 09:31:56.983 +0200,
"61c35a2947345d9d5f5e18de",2024-05-28 16:04:49.061 +0200,
"61c35a2947345d9d5f5e18de",2024-05-28 16:06:18.620 +0200,
"61c35a2947345d9d5f5e18de",2024-07-03 17:12:24.194 +0200,
"62824d96e2af763a1c0de1d2",2023-09-27 06:28:48.740 +0200,
"62824d96e2af763a1c0de1d2",2024-01-16 07:09:37.800 +0100,
"62824d96e2af763a1c0de1d2",2024-02-27 06:40:43.757 +0100,
"62824d96e2af763a1c0de1d2",2024-02-27 06:41:07.075 +0100,
"62824d96e2af763a1c0de1d2",2024-02-27 06:41:42.914 +0100,
"62824d96e2af763a1c0de1d2",2024-02-27 06:40:11.464 +0100,
"62824d96e2af763a1c0de1d2",2024-03-04 15:08:48.181 +0100,
"62824d96e2af763a1c0de1d2",2024-03-04 15:08:18.878 +0100,
"62824d96e2af763a1c0de1d2",2024-03-12 10:30:11.886 +0100,
"62824d96e2af763a1c0de1d2",2024-04-16 19:17:47.971 +0200,
"62824d96e2af763a1c0de1d2",2024-04-16 14:16:14.227 +0200,
"62824d96e2af763a1c0de1d2",2024-04-17 14:25:12.734 +0200,
"62824d96e2af763a1c0de1d2",2024-04-23 06:27:59.622 +0200,
"62824d96e2af763a1c0de1d2",2024-04-23 06:27:27.299 +0200,
"62824d96e2af763a1c0de1d2",2024-01-16 09:38:23.820 +0100,
