employee,2023_office_location_type,2024_office_location_type,2023_home_location_type,2024_home_location_type,2023_mode,2024_mode,,,office urban changed?,home urban changed?,Mode Changed?,,,,employee,2023_office_location_type,2023_home_location_type,2023_mode,2024_mode,mode_shift
1786556292,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1786556292,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1805894795,urban,urban,peri_urban,peri_urban,carpooling_driver,car,,,no,no,yes,,,,1805894795,urban,peri_urban,carpooling_driver,car,carpooling_driver ? car
1810062598,urban,urban,urban,urban,spostamento multimodale,car,,,no,no,yes,,,,1810062598,urban,urban,spostamento multimodale,car,spostamento multimodale ? car
1812942300,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,1812942300,urban,urban,car,public_transport,car ? public_transport
1813202208,urban,urban,peri_urban,peri_urban,car,carpooling_driver,,,no,no,yes,,,,1813202208,urban,peri_urban,car,carpooling_driver,car ? carpooling_driver
1815542434,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1815542434,urban,urban,public_transport,car,public_transport ? car
1818213844,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1818213844,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1832871613,urban,urban,urban,urban,motorcycle,car,,,no,no,yes,,,,1832871613,urban,urban,motorcycle,car,motorcycle ? car
1833852870,peri_urban,peri_urban,urban,urban,car,public_transport,,,no,no,yes,,,,1833852870,peri_urban,urban,car,public_transport,car ? public_transport
1839566898,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1839566898,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
1846326344,urban,urban,urban,urban,car,public_transport,,,no,no,yes,,,,1846326344,urban,urban,car,public_transport,car ? public_transport
1855594743,urban,urban,urban,urban,bike,public_transport,,,no,no,yes,,,,1855594743,urban,urban,bike,public_transport,bike ? public_transport
1867867115,urban,urban,urban,urban,car,motorcycle,,,no,no,yes,,,,1867867115,urban,urban,car,motorcycle,car ? motorcycle
1885538718,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1885538718,urban,urban,public_transport,car,public_transport ? car
1896458530,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1896458530,urban,urban,public_transport,car,public_transport ? car
1898566064,urban,urban,urban,urban,carpooling_driver,car,,,no,no,yes,,,,1898566064,urban,urban,carpooling_driver,car,carpooling_driver ? car
1902146082,peri_urban,peri_urban,urban,urban,walking,public_transport,,,no,no,yes,,,,1902146082,peri_urban,urban,walking,public_transport,walking ? public_transport
1919836115,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,1919836115,urban,urban,public_transport,car,public_transport ? car
1924093340,urban,urban,peri_urban,peri_urban,public_transport,car,,,no,no,yes,,,,1924093340,urban,peri_urban,public_transport,car,public_transport ? car
1964775354,urban,urban,urban,urban,car,spostamento multimodale,,,no,no,yes,,,,1964775354,urban,urban,car,spostamento multimodale,car ? spostamento multimodale
1964900881,urban,urban,urban,urban,motorcycle,car,,,no,no,yes,,,,1964900881,urban,urban,motorcycle,car,motorcycle ? car
1971405741,urban,urban,urban,urban,carpooling_driver,car,,,no,no,yes,,,,1971405741,urban,urban,carpooling_driver,car,carpooling_driver ? car
1982127567,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,1982127567,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
2015077649,urban,urban,urban,urban,car,walking,,,no,no,yes,,,,2015077649,urban,urban,car,walking,car ? walking
2017509148,urban,urban,urban,urban,spostamento multimodale,car,,,no,no,yes,,,,2017509148,urban,urban,spostamento multimodale,car,spostamento multimodale ? car
2019046699,urban,urban,urban,urban,car,walking,,,no,no,yes,,,,2019046699,urban,urban,car,walking,car ? walking
2026740117,urban,urban,urban,urban,car,bike,,,no,no,yes,,,,2026740117,urban,urban,car,bike,car ? bike
2035576302,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,2035576302,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
2038832291,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,2038832291,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
2047866315,urban,urban,urban,urban,walking,public_transport,,,no,no,yes,,,,2047866315,urban,urban,walking,public_transport,walking ? public_transport
2052378134,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,2052378134,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
2074657170,urban,urban,urban,urban,public_transport,car,,,no,no,yes,,,,2074657170,urban,urban,public_transport,car,public_transport ? car
2075114556,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,2075114556,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
2091763987,urban,urban,urban,urban,public_transport,walking,,,no,no,yes,,,,2091763987,urban,urban,public_transport,walking,public_transport ? walking
2099656113,urban,urban,urban,urban,bike,public_transport,,,no,no,yes,,,,2099656113,urban,urban,bike,public_transport,bike ? public_transport
2108920911,urban,urban,non_urban,non_urban,spostamento multimodale,car,,,no,no,yes,,,,2108920911,urban,non_urban,spostamento multimodale,car,spostamento multimodale ? car
2113503633,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,2113503633,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
2121019082,urban,urban,urban,urban,bike,car,,,no,no,yes,,,,2121019082,urban,urban,bike,car,bike ? car
2126600279,urban,urban,urban,urban,spostamento multimodale,public_transport,,,no,no,yes,,,,2126600279,urban,urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
2127430179,urban,urban,urban,urban,walking,car,,,no,no,yes,,,,2127430179,urban,urban,walking,car,walking ? car
2129093085,urban,urban,non_urban,non_urban,car,spostamento multimodale,,,no,no,yes,,,,2129093085,urban,non_urban,car,spostamento multimodale,car ? spostamento multimodale
2137498249,urban,urban,peri_urban,peri_urban,motorcycle,car,,,no,no,yes,,,,2137498249,urban,peri_urban,motorcycle,car,motorcycle ? car
2140955284,urban,urban,peri_urban,peri_urban,spostamento multimodale,public_transport,,,no,no,yes,,,,2140955284,urban,peri_urban,spostamento multimodale,public_transport,spostamento multimodale ? public_transport
