k,cost,n_iter,cost_drop_abs,cost_drop_pct
2,4982.823758898061,16,,
3,4233.357534688103,13,749.4662242099575,15.040994032181064
4,3943.6206034476463,27,289.7369312404571,6.844140351159917
5,3711.983689385523,17,231.6369140621232,5.873711935159745
6,3538.83398945266,15,173.1496999328633,4.6646137058195505
7,3429.808785032641,10,109.02520442001878,3.0808228005315774
8,3313.5301471040316,14,116.27863792860944,3.3902367512742506
